,source,author,title,price
66,https://d7hftxdivxxvm.cloudfront.net?height=449&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-0SKv1kTAqwohVML9Be8Tg%2Flarger.jpg&width=445,Giorgio Mussati,"It's Not A Fault, 2018","€2,000 "
67,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fm2TsV7Uh7Q-Pm2PScIsiXw%2Flarger.jpg&width=445,Maja Krstic Art Diary,"Folded, 2022","€2,200 "
68,https://d7hftxdivxxvm.cloudfront.net?height=563&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fv6uyO_1ntMbyAQlSR-JlYQ%2Flarger.jpg&width=445,Plastic Jesus,"""Graffiti is a Crime"" - RED stencil acrylic on canvas, 2018","US$4,500–US$7,000 "
69,https://d7hftxdivxxvm.cloudfront.net?height=478&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FYrcH1lgpdGlx6GjyuJvyDQ%2Flarger.jpg&width=445,DEB (b. 1979),"Little man, 2022","US$1,500 "
70,https://d7hftxdivxxvm.cloudfront.net?height=517&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F4gc_gwuypm8SDmqnx_ydiA%2Flarger.jpg&width=445,Craig Cameron-Mackintosh,"The Fun of Anonymity, 2023","US$4,000 "
71,https://d7hftxdivxxvm.cloudfront.net?height=344&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FZhxjjO2rQ_JGnOUCrTIYEQ%2Flarger.jpg&width=445,Otto Piene,"Untitled (Small Fire Painting), 1964","US$110,000–US$130,000 "
72,https://d7hftxdivxxvm.cloudfront.net?height=684&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F4MwzBqrdp3WBi8U-qM5lxg%2Flarger.jpg&width=445,Jim Shaw,"The Seat of the Law , 2019","US$70,000 "
73,https://d7hftxdivxxvm.cloudfront.net?height=412&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FCY_4Sxl7FAtcmmfNma83aw%2Flarger.jpg&width=445,Ndidi Emefiele,"Road side pixie cut, 2020","£54,000 "
74,https://d7hftxdivxxvm.cloudfront.net?height=549&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FK_PBAYNEvqxh7LlHECC7EQ%2Flarger.jpg&width=445,Lise Zia,"On the Road again, 2022","€2,200 "
75,https://d7hftxdivxxvm.cloudfront.net?height=563&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FWdhokL8Q0ypn5lHGx8gi5w%2Flarger.jpg&width=445,Achille Perilli,"Il ritorno del rosso ( The return of red ), 2012","€9,500 "
76,https://d7hftxdivxxvm.cloudfront.net?height=556&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fp95TFKeZV3Y3VK6f-gl7og%2Flarger.jpg&width=445,Jason Andrew Turner,"Just Us, 2022","US$1,800 "
77,https://d7hftxdivxxvm.cloudfront.net?height=767&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FE9S9RUssZ66xFpSl9pwjBQ%2Flarger.jpg&width=445,Aaron Garber-Maikovska,"Clive, 2013","US$28,000 "
78,https://d7hftxdivxxvm.cloudfront.net?height=626&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FjD6uZV__2mK-2J8kRUUc9g%2Flarger.jpg&width=445,Adrian Ghenie,"Untitled (Wing), 2014","€51,665 "
79,https://d7hftxdivxxvm.cloudfront.net?height=536&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FCZguUuphcCqiMf5fEROTNA%2Flarger.jpg&width=445,Go Yayanagi,"Life Force, 2015","US$8,800 "
80,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FUICPNdqdkrmv9wsO9nNuWQ%2Flarger.jpg&width=445,Nobuko Sugio,"365 Days, 2013",US$720 
81,https://d7hftxdivxxvm.cloudfront.net?height=542&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fg6ElqJ64UDMjTLpkL1ufcw%2Flarger.jpg&width=445,Jo Smail,"Songs of Folding and Hiding, 2022","US$44,000 "
82,https://d7hftxdivxxvm.cloudfront.net?height=549&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FWflBgbVgmQTU6BO34dLqxg%2Flarger.jpg&width=445,Andy Warhol,"Self-Portrait embossed 'Andy Warhol' (upper edge); numbered 'A1191.120' (on the reverse) , 1966","US$285,000 "
83,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnPmYawlBatt40WX23tARWg%2Flarger.jpg&width=445,Mariana Sanchez,"Fantasy , 2021","US$1,300 "
84,https://d7hftxdivxxvm.cloudfront.net?height=542&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F6gvJgQEOKwH61pyE64FQ9A%2Flarger.jpg&width=445,Morgan Auten Smith,"Learning to Make Spells 5, 2021",US$400 
85,https://d7hftxdivxxvm.cloudfront.net?height=419&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnY3I3xqkCd_RHTFi2F_leg%2Flarger.jpg&width=445,Kikuo Saito,"Orange Tent, 1987","US$80,000 "
86,https://d7hftxdivxxvm.cloudfront.net?height=570&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_Yz03RVy6_h6wX6x1s8s9g%2Flarger.jpg&width=445,Gommaar Gilliams,"in from the night they come and go, part 3, 2019","US$14,000 "
87,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Frl8IBZ49-stBg-cspGTwvw%2Flarger.jpg&width=445,Carlos Estupinan,"EVENTO_INORGANICO_025, 2021","US$20,000 "
88,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FCrMEHK0wrRwszvSSXe4Nzg%2Flarger.jpg&width=445,FAILE,"Untitled, 2000","US$8,000 "
89,https://d7hftxdivxxvm.cloudfront.net?height=556&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FJlI53WzqUdvPXXQe4XXnaQ%2Flarger.jpg&width=445,Joakim Allgulander,"Waste Bag Blue, 2023","€2,650 "
90,https://d7hftxdivxxvm.cloudfront.net?height=334&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FBgO75a9tOqKamR1NXRYcBw%2Flarger.jpg&width=445,Punk Me Tender,"357, 2022","US$22,000 "
91,https://d7hftxdivxxvm.cloudfront.net?height=294&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FFYnNDa5psnJpW02MVTwLWg%2Flarger.jpg&width=445,Jeffrey Melo,"Migrante II, 2023","US$28,500 "
92,https://d7hftxdivxxvm.cloudfront.net?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FeWB5UCiig-aQ0b8tLeUBpw%2Flarger.jpg&width=445,Michelle Sakhai,"A Dream World, 2023","US$1,260 "
93,https://d7hftxdivxxvm.cloudfront.net?height=347&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2ForBb_2H_wm_qvVg89ZLifQ%2Flarger.jpg&width=445,Léo Manelli,"The Artist And The Muse Warhol Basquiat, 2023","US$12,500 "
94,https://d7hftxdivxxvm.cloudfront.net?height=483&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fo20kWDNkUvgErG-RuKJF8Q%2Flarger.jpg&width=445,Mia Sandhu,"Untitled 3, 2023","US$4,200 "
